date,compound,positive,neutral,negative
2000-04-01,0.34,0.231,0.769,0.0
2000-04-02,-0.5994,0.0,0.719,0.281
2000-04-04,0.0,0.0,1.0,0.0
2000-04-05,0.0,0.0,1.0,0.0
2000-04-06,0.0,0.0,1.0,0.0
2000-04-07,0.0,0.0,1.0,0.0
2000-04-09,0.0,0.0,1.0,0.0
2000-04-11,-0.2732,0.0,0.811,0.189
2000-04-12,0.0,0.0,1.0,0.0
2000-04-13,0.0,0.0,1.0,0.0
2000-04-14,0.4019,0.278,0.722,0.0
2000-04-15,-0.128,0.0,0.857,0.143
2000-04-16,0.4019,0.13,0.87,0.0
2000-04-18,0.0,0.0,1.0,0.0
2000-04-19,0.0,0.0,1.0,0.0
2000-04-20,-0.4019,0.0,0.748,0.252
2000-04-23,-0.3818,0.133,0.633,0.234
2000-04-26,0.0,0.0,1.0,0.0
2000-04-27,0.0,0.0,1.0,0.0
2000-04-30,0.0,0.0,1.0,0.0
2000-05-03,-0.7579,0.0,0.4,0.6
2000-05-05,0.0,0.0,1.0,0.0
2000-05-06,0.0,0.0,1.0,0.0
2000-05-07,0.0,0.0,1.0,0.0
2000-05-10,0.0,0.0,1.0,0.0
2000-05-11,0.0,0.0,1.0,0.0
2000-05-12,-0.0772,0.0,0.794,0.206
2000-05-13,0.0,0.0,1.0,0.0
2000-05-17,0.0,0.0,1.0,0.0
2000-05-18,0.0,0.0,1.0,0.0
2000-05-19,0.0,0.0,1.0,0.0
2000-05-20,0.0,0.0,1.0,0.0
2000-05-23,0.17790000000000003,0.145,0.855,0.0
2000-05-24,0.6124,0.357,0.643,0.0
2000-05-25,-0.128,0.0,0.842,0.158
2000-05-26,0.0,0.0,1.0,0.0
2000-05-28,0.4019,0.31,0.69,0.0
2000-05-29,-0.3818,0.0,0.658,0.342
2000-05-30,-0.0772,0.147,0.667,0.187
2000-05-31,0.0,0.0,1.0,0.0
2000-06-01,0.0,0.0,1.0,0.0
2000-06-02,0.5267,0.405,0.595,0.0
2000-06-03,0.0,0.0,1.0,0.0
2000-06-04,-0.7003,0.0,0.593,0.407
2000-06-05,-0.6486,0.0,0.719,0.281
2000-06-06,0.0,0.0,1.0,0.0
2000-06-08,-0.128,0.0,0.769,0.231
2000-06-09,0.0,0.0,1.0,0.0
2000-06-13,-0.296,0.0,0.82,0.18
2000-06-14,0.0,0.0,1.0,0.0
2000-06-16,0.3182,0.434,0.566,0.0
2000-06-17,0.0,0.0,1.0,0.0
2000-06-18,0.0,0.0,1.0,0.0
2000-06-19,-0.6249,0.0,0.579,0.421
2000-06-20,0.0,0.0,1.0,0.0
2000-06-21,0.3612,0.238,0.762,0.0
2000-06-22,0.4767,0.451,0.549,0.0
2000-06-23,0.0,0.0,1.0,0.0
2000-06-24,0.0,0.0,1.0,0.0
2000-06-25,0.0,0.0,1.0,0.0
2000-06-26,0.0,0.0,1.0,0.0
2000-06-27,0.0,0.0,1.0,0.0
2000-06-28,0.2732,0.296,0.704,0.0
2000-06-29,0.0,0.0,1.0,0.0
2000-06-30,-0.0772,0.28,0.4,0.32
2000-07-02,0.5267,0.531,0.469,0.0
2000-07-03,0.0,0.0,1.0,0.0
2000-07-04,0.0,0.0,1.0,0.0
2000-07-05,0.0,0.0,1.0,0.0
2000-07-06,-0.2023,0.0,0.69,0.31
2000-07-07,0.0,0.0,1.0,0.0
2000-07-08,0.0,0.0,1.0,0.0
2000-07-09,0.6369,0.296,0.7040000000000001,0.0
2000-07-10,-0.2023,0.19499999999999998,0.547,0.258
2000-07-11,0.0,0.0,1.0,0.0
2000-07-12,0.0,0.0,1.0,0.0
2000-07-13,0.1531,0.238,0.574,0.189
2000-07-14,-0.5106,0.0,0.645,0.355
2000-07-15,0.0,0.0,1.0,0.0
2000-07-16,-0.3182,0.0,0.303,0.697
2000-07-18,0.0,0.0,1.0,0.0
2000-07-19,0.0,0.0,1.0,0.0
2000-07-20,0.0,0.0,1.0,0.0
2000-07-22,0.0,0.0,1.0,0.0
2000-07-23,0.0,0.0,1.0,0.0
2000-07-24,0.3182,0.299,0.539,0.162
2000-07-25,0.0,0.0,1.0,0.0
2000-07-26,0.2732,0.344,0.656,0.0
2000-07-27,0.47669999999999996,0.279,0.721,0.0
2000-07-28,-0.22630000000000003,0.0,0.8080000000000002,0.19200000000000003
2000-07-29,0.0,0.0,1.0,0.0
2000-07-30,0.4019,0.351,0.649,0.0
2000-07-31,0.0,0.0,1.0,0.0
2000-08-03,0.0,0.0,1.0,0.0
2000-08-04,0.4404,0.42,0.58,0.0
2000-08-05,0.0,0.0,1.0,0.0
2000-08-06,0.4215,0.359,0.641,0.0
2000-08-08,0.0,0.0,1.0,0.0
2000-08-09,-0.5994,0.0,0.588,0.412
2000-08-10,0.0,0.0,1.0,0.0
2000-08-11,-0.7906,0.0,0.533,0.467
2000-08-12,-0.34,0.0,0.556,0.444
2000-08-13,-0.1531,0.0,0.789,0.211
2000-08-14,0.3182,0.247,0.753,0.0
2000-08-17,0.0,0.0,1.0,0.0
2000-08-18,0.4404,0.266,0.734,0.0
2000-08-19,0.0,0.0,1.0,0.0
2000-08-20,0.296,0.205,0.682,0.114
2000-08-22,0.0,0.0,1.0,0.0
2000-08-24,0.0,0.0,1.0,0.0
2000-08-25,0.0,0.0,1.0,0.0
2000-08-26,0.4767,0.437,0.563,0.0
2000-08-27,0.4019,0.252,0.748,0.0
2000-08-28,0.0,0.0,1.0,0.0
2000-08-29,0.17790000000000003,0.221,0.779,0.0
2000-08-30,0.0,0.0,1.0,0.0
2000-08-31,0.0,0.0,1.0,0.0
2000-09-01,0.0,0.0,1.0,0.0
2000-09-03,0.0,0.0,1.0,0.0
2000-09-06,0.4767,0.341,0.659,0.0
2000-09-07,0.3182,0.277,0.723,0.0
2000-09-08,-0.2732,0.0,0.693,0.307
2000-09-09,0.0,0.0,1.0,0.0
2000-09-11,-0.8074,0.0,0.49,0.51
2000-09-12,0.0516,0.13,0.87,0.0
2000-09-13,0.0,0.0,1.0,0.0
2000-09-14,0.0,0.0,1.0,0.0
2000-09-15,-0.5267,0.0,0.702,0.298
2000-09-16,-0.3182,0.198,0.496,0.306
2000-09-17,0.0,0.0,1.0,0.0
2000-09-19,-0.128,0.0,0.769,0.231
2000-09-20,0.0,0.0,1.0,0.0
2000-09-21,-0.2732,0.0,0.721,0.279
2000-09-22,-0.128,0.0,0.897,0.103
2000-09-23,0.5859,0.275,0.725,0.0
2000-09-24,-0.8074,0.0,0.49099999999999994,0.509
2000-09-25,-0.4939,0.0,0.652,0.348
2000-09-26,0.0,0.0,1.0,0.0
2000-09-27,-0.7096,0.0,0.504,0.496
2000-09-28,0.0,0.0,1.0,0.0
2000-09-29,-0.128,0.0,0.824,0.176
2000-09-30,0.0,0.0,1.0,0.0
2000-10-01,0.0,0.0,1.0,0.0
2000-10-02,-0.3818,0.139,0.594,0.267
2000-10-03,-0.7003,0.0,0.58,0.42
2000-10-04,0.0,0.0,1.0,0.0
2000-10-05,0.0,0.0,1.0,0.0
2000-10-06,-0.5719,0.0,0.709,0.291
2000-10-07,0.0,0.0,1.0,0.0
2000-10-08,0.0,0.0,1.0,0.0
2000-10-09,-0.4717,0.0,0.695,0.305
2000-10-10,0.1531,0.286,0.714,0.0
2000-10-11,-0.6369,0.0,0.634,0.366
2000-10-12,-0.296,0.0,0.761,0.239
2000-10-13,0.0,0.0,1.0,0.0
2000-10-14,0.0,0.0,1.0,0.0
2000-10-15,0.0,0.0,1.0,0.0
2000-10-17,0.0,0.0,1.0,0.0
2000-10-18,0.0,0.0,1.0,0.0
2000-10-19,0.5574,0.20200000000000004,0.733,0.065
2000-10-20,0.0,0.0,1.0,0.0
2000-10-21,0.0,0.0,1.0,0.0
2000-10-22,0.2732,0.259,0.741,0.0
2000-10-25,0.0,0.0,1.0,0.0
2000-10-26,0.0,0.0,1.0,0.0
2000-10-27,0.0,0.0,1.0,0.0
2000-10-28,-0.2023,0.125,0.673,0.202
2000-10-31,0.6669,0.438,0.562,0.0
2000-11-01,0.0,0.0,1.0,0.0
2000-11-02,0.0,0.0,1.0,0.0
2000-11-03,0.0,0.0,1.0,0.0
2000-11-05,0.2144,0.381,0.619,0.0
2000-11-06,0.0,0.0,1.0,0.0
2000-11-07,0.0,0.0,1.0,0.0
2000-11-09,0.0,0.0,1.0,0.0
2000-11-10,0.0,0.0,1.0,0.0
2000-11-11,0.0,0.0,1.0,0.0
2000-11-12,-0.5267,0.0,0.638,0.36199999999999993
2000-11-13,0.0,0.0,1.0,0.0
2000-11-15,0.0,0.0,1.0,0.0
2000-11-16,0.0,0.0,1.0,0.0
2000-11-17,0.0,0.0,1.0,0.0
2000-11-19,0.0,0.0,1.0,0.0
2000-11-21,0.2023,0.205,0.795,0.0
2000-11-23,0.0,0.0,1.0,0.0
2000-11-24,0.0,0.0,1.0,0.0
2000-11-25,0.0,0.0,1.0,0.0
2000-11-28,0.0,0.0,1.0,0.0
2000-11-29,0.0,0.0,1.0,0.0
2000-11-30,0.0,0.0,1.0,0.0
2000-12-01,0.6124,0.417,0.583,0.0
2000-12-02,-0.2732,0.0,0.792,0.208
2000-12-03,0.2732,0.412,0.588,0.0
2000-12-04,-0.34,0.0,0.556,0.444
2000-12-05,0.7096,0.396,0.604,0.0
2000-12-06,0.0,0.0,1.0,0.0
2000-12-07,0.1779,0.195,0.805,0.0
2000-12-09,0.4215,0.318,0.682,0.0
2000-12-10,0.4019,0.474,0.526,0.0
2000-12-12,-0.6705,0.148,0.37,0.481
2000-12-15,0.0,0.0,1.0,0.0
2000-12-16,0.3612,0.172,0.828,0.0
2000-12-17,0.2732,0.412,0.588,0.0
2000-12-18,0.1779,0.195,0.805,0.0
2000-12-19,0.0,0.0,1.0,0.0
2000-12-20,0.2732,0.149,0.851,0.0
2000-12-21,0.6249,0.362,0.638,0.0
2000-12-22,0.5267,0.327,0.673,0.0
2000-12-23,0.0,0.0,1.0,0.0
2000-12-24,0.0,0.0,1.0,0.0
2000-12-25,0.0,0.0,1.0,0.0
2000-12-27,0.0,0.0,1.0,0.0
2000-12-28,-0.5574,0.0,0.526,0.474
2000-12-29,0.0,0.0,1.0,0.0
2000-12-31,0.0,0.0,1.0,0.0
2001-01-01,0.2732,0.231,0.769,0.0
2001-01-02,0.2732,0.296,0.704,0.0
2001-01-03,0.0,0.0,1.0,0.0
2001-01-04,0.0,0.0,1.0,0.0
2001-01-05,0.0,0.0,1.0,0.0
2001-01-06,0.0,0.0,1.0,0.0
2001-01-08,0.1027,0.246,0.538,0.215
2001-01-09,-0.2732,0.0,0.588,0.412
2001-01-10,0.0,0.0,1.0,0.0
2001-01-11,-0.25,0.115,0.673,0.212
2001-01-13,0.0,0.0,1.0,0.0
2001-01-14,0.0,0.0,1.0,0.0
